environment,strategy,seed,total_reward,final_reward
Taxi,epsilon_greedy,18,-222727.0,7.63
Taxi,epsilon_greedy,19,-220102.0,7.63
Taxi,epsilon_greedy,20,-223561.0,7.63
Taxi,epsilon_greedy,21,-219009.0,7.63
Taxi,epsilon_greedy,22,-224026.0,7.63
Taxi,epsilon_greedy,23,-219374.0,7.63
Taxi,epsilon_greedy,24,-224255.0,7.63
Taxi,epsilon_greedy,25,-224182.0,7.63
Taxi,epsilon_greedy,26,-227964.0,7.63
Taxi,epsilon_greedy,27,-223843.0,7.63
Taxi,epsilon_greedy,28,-228909.0,7.63
Taxi,epsilon_greedy,29,-220266.0,7.63
Taxi,softmax,0,-84627.0,7.63
Taxi,softmax,1,-82905.0,7.63
Taxi,softmax,2,-82573.0,7.63
Taxi,softmax,3,-83643.0,7.63
Taxi,softmax,4,-81525.0,7.63
Taxi,softmax,5,-83157.0,7.63
Taxi,softmax,6,-80284.0,7.63
Taxi,softmax,7,-81746.0,7.63
Taxi,softmax,8,-85429.0,7.61
Taxi,softmax,9,-83841.0,7.63
Taxi,softmax,10,-83354.0,7.63
Taxi,softmax,11,-82792.0,7.63
Taxi,softmax,12,-80687.0,7.63
Taxi,softmax,13,-82813.0,7.63
Taxi,softmax,14,-80646.0,7.63
Taxi,softmax,15,-82454.0,7.63
Taxi,softmax,16,-83375.0,7.63
Taxi,softmax,17,-86268.0,7.63
Taxi,softmax,18,-82451.0,7.63
Taxi,softmax,19,-81900.0,7.61
Taxi,softmax,20,-83945.0,7.63
Taxi,softmax,21,-84633.0,7.63
Taxi,softmax,22,-80700.0,5.59
Taxi,softmax,23,-82570.0,7.63
Taxi,softmax,24,-84466.0,7.63
Taxi,softmax,25,-85993.0,7.63
Taxi,softmax,26,-83010.0,7.63
Taxi,softmax,27,-85706.0,7.63
Taxi,softmax,28,-82927.0,7.63
Taxi,softmax,29,-87076.0,7.59
Taxi,thompson,0,-76211.0,7.63
Taxi,thompson,1,-76514.0,7.63
Taxi,thompson,2,-79187.0,7.63
Taxi,thompson,3,-77208.0,7.63
Taxi,thompson,4,-77646.0,7.63
Taxi,thompson,5,-75064.0,7.63
Taxi,thompson,6,-78536.0,5.59
Taxi,thompson,7,-79847.0,7.63
Taxi,thompson,8,-76457.0,7.63
Taxi,thompson,9,-79596.0,7.63
Taxi,thompson,10,-77769.0,7.63
Taxi,thompson,11,-79434.0,7.63
Taxi,thompson,12,-77787.0,7.63
Taxi,thompson,13,-74435.0,7.63
Taxi,thompson,14,-76038.0,7.63
Taxi,thompson,15,-80039.0,7.63
Taxi,thompson,16,-79134.0,7.63
Taxi,thompson,17,-77317.0,7.63
Taxi,thompson,18,-80241.0,7.63
Taxi,thompson,19,-79477.0,7.63
Taxi,thompson,20,-77057.0,7.63
Taxi,thompson,21,-76819.0,7.63
Taxi,thompson,22,-80386.0,7.63
Taxi,thompson,23,-78787.0,7.63
Taxi,thompson,24,-78766.0,7.63
Taxi,thompson,25,-75589.0,7.63
Taxi,thompson,26,-78904.0,7.63
Taxi,thompson,27,-79515.0,7.63
Taxi,thompson,28,-79433.0,7.63
Taxi,thompson,29,-74350.0,7.63
